"","uniprot_id","genesymbol"
"1","Q8C196","Cps1"
"2","P01942","Hba"
"3","O35490","Bhmt"
"4","P62806","H4c1"
"27","P00329","Adh1"
"28","O35215","Ddt"
"29","P10126","Eef1a1"
"30","Q91Y97","Aldob"
"31","P25688","Uox"
"32","P19157","Gstp1"
"33","Q91YI0","Asl"
"34","O09173","Hgd"
"35","P16460","Ass1"
"36","Q8R084",NA
"37","P58252","Eef2"
"38","Q64442","Sord"
"39","Q8BH00","Aldh8a1"
"40","P09103","P4hb"
"41","O08709","Prdx6"
"42","P07724","Alb"
"43","P14152","Mdh1"
"44","P56395","Cyb5a"
"45","Q64433","Hspe1"
"46","P35505","Fah"
"47","P17742","Ppia"
"48","P08249","Mdh2"
"49","O88587","Comt"
"50","Q64374","Rgn"
"51","P50247","Ahcy"
"52","P17751","Tpi1"
"53","Q9EQ20","Aldh6a1"
"54","P35700","Prdx1"
"55","P50172","Hsd11b1"
"56","Q8R0Y6","Aldh1l1"
"57","P47738","Aldh2"
"58","Q99LC5","Etfa"
"59","P34884","Mif"
"60","P17182","Eno1"
"61","P62082","Rps7"
"62","P06151","Ldha"
"63","O09131","Gsto1"
"64","Q00623","Apoa1"
"65","Q8CAY6","Acat2"
"66","P26443","Glud1"
"67","Q68FD5","Cltc"
"68","P15105","Glul"
"69","P63038","Hspd1"
"70","P70694","Akr1c6"
"71","Q9WVL0","Gstz1"
"72","Q8K2B3","Sdha"
"73","P16331","Pah"
"74","Q91X83","Mat1a"
"75","Q05421","Cyp2e1"
"76","P55096","Abcd3"
"77","Q922R8","Pdia6"
"78","P27773","Pdia3"
"79","O08601","Mttp"
"80","P62858","Rps28"
"81","Q9JII6","Akr1a1"
"82","P54071","Idh2"
"83","P12970","Rpl7a"
"84","P10649","Gstm1"
"85","P09411","Pgk1"
"86","Q99P30","Nudt7"
"87","P14206","Rpsa"
"88","Q9CPY7","Lap3"
"89","Q9DB77","Uqcrc2"
"90","Q9CZM2","Rpl15"
"91","A8DUK4",NA
"92","Q9DBM2","Ehhadh"
"93","Q05920","Pc"
"94","O88844","Idh1"
"95","Q8BFZ3","Actbl2"
"96","Q9WUM5","Suclg1"
"97","P08228","Sod1"
"98","Q8VC12","Uroc1"
"99","Q8VCT4","Ces1d"
"100","Q8VEM8","Slc25a3"
"101","Q9CQ62","Decr1"
"102","P63101","Ywhaz"
"103","P68368","Tuba4a"
"104","P97328","Khk"
"105","Q63886","Ugt1a1"
"106","Q91XE0","Glyat"
"107","Q9DBJ1","Pgam1"
"108","P14131","Rps16"
"109","P19096","Fasn"
"110","Q91VA0","Acsm1"
"111","Q9DCW4","Etfb"
"112","Q64471","Gstt1"
"113","Q91V92","Acly"
"114","P62830","Rpl23"
"115","P99029","Prdx5"
"116","Q9CZU6","Cs"
"117","P05201","Got1"
"118","Q8QZT1","Acat1"
"119","Q80XN0","Bdh1"
"120","Q9DBT9","Dmgdh"
"121","P54869","Hmgcs2"
"122","P20029","Hspa5"
"123","P05202","Got2"
"124","P11352","Gpx1"
"125","Q9CQQ7","Atp5pb"
"126","Q571F8","Gls2"
"127","Q63880","Ces3a"
"128","P40142","Tkt"
"129","P47911","Rpl6"
"130","O35423","Agxt"
"131","P63325","Rps10"
"132","Q8VC30","Tkfc"
"133","P43274","H1-4"
"134","Q99LB7","Sardh"
"135","Q9EQF5","Dpys"
"136","P62242","Rps8"
"137","P38060","Hmgcl"
"138","Q6ZWN5","Rps9"
"139","P32020","Scp2"
"140","Q9DBG6","Rpn2"
"141","Q8BMS1","Hadha"
"142","P51881","Slc25a5"
"143","P62259","Ywhae"
"144","P11499","Hsp90ab1"
"145","Q9D0F9","Pgm1"
"146","Q91VR2","Atp5f1c"
"147","P33267","Cyp2f2"
"148","Q4LDG0","Slc27a5"
"149","P21550","Eno3"
"150","Q61171","Prdx2"
"151","Q9R1P3","Psmb2"
"152","P53657","Pklr"
"153","Q62425","Ndufa4"
"154","P38647","Hspa9"
"155","Q8R164","Bphl"
"156","P49429","Hpd"
"157","P51660","Hsd17b4"
"158","P61922","Abat"
"159","P97872","Fmo5"
"160","Q9Z2I8","Suclg2"
"161","P52840","Sult1a1"
"162","Q91XD4","Ftcd"
"163","Q8VCR7","Abhd14b"
"164","Q8BH95","Echs1"
"165","Q78JT3","Haao"
"166","P52196","Tst"
"167","P48036","Anxa5"
"168","P62897","Cycs"
"169","P14824","Anxa6"
"170","Q9DBE0","Csad"
"171","P42125","Eci1"
"172","P60766","Cdc42"
"173","P47962","Rpl5"
"174","P35980","Rpl18"
"175","Q9ET01","Pygl"
"176","Q3UEP4",NA
"177","P70349","Hint1"
"178","P24549","Aldh1a1"
"179","P52760","Rida"
"180","P84099","Rpl19"
"181","Q9D0M3","Cyc1"
"182","Q9R0H0","Acox1"
"183","P56391","Cox6b1"
"184","P63017","Hspa8"
"185","P85094","Isoc2a"
"186","P62301","Rps13"
"187","O55022","Pgrmc1"
"188","P24456","Cyp2d10"
"189","P62702","Rps4x"
"190","Q9DBF1","Aldh7a1"
"191","Q921I1","Tf"
"192","O88569","Hnrnpa2b1"
"193","P62900","Rpl31"
"194","P62962","Pfn1"
"195","P55264","Adk"
"196","P61979","Hnrnpk"
"197","O35129","Phb2"
"198","Q9WTP7","Ak3"
"199","P35979","Rpl12"
"200","Q9JKR6","Hyou1"
"201","P06801","Me1"
"202","P34914","Ephx2"
"203","Q99LC3","Ndufa10"
"204","P58710","Gulo"
"205","Q8K157","Galm"
"206","Q9DCN2","Cyb5r3"
"207","Q01768","Nme2"
"208","Q9CQX2","Cyb5b"
"209","P14869","Rplp0"
"210","Q5SYL3","Kiaa0100"
"211","P60867","Rps20"
"212","P51174","Acadl"
"213","Q8BVI4","Qdpr"
"214","Q8BWQ1","Ugt2a3"
"215","Q9DCQ2","Aspdh"
"216","Q91YQ5","Rpn1"
"217","P40936","Inmt"
"218","P57776","Eef1d"
"219","P41216","Acsl1"
"220","P11087","Col1a1"
"221","Q8VCN5","Cth"
"222","Q5FW60","Mup20"
"223","Q64458","Cyp2c29"
"224","Q9CPU0","Glo1"
"225","Q8CIM7","Cyp2d26"
"226","Q60932","Vdac1"
"227","Q922D8","Mthfd1"
"228","Q9D023","Mpc2"
"229","Q60759","Gcdh"
"230","Q9D8N0","Eef1g"
"231","P09671","Sod2"
"232","Q9D3D9","Atp5f1d"
"233","Q9QXD1","Acox2"
"234","O54734","Ddost"
"235","Q06185","Atp5me"
"236","P67778","Phb1"
"237","P62631","Eef1a2"
"238","Q07417","Acads"
"239","P53395","Dbt"
"240","Q8BMF4","Dlat"
"241","Q9D0S9","Hint2"
"242","Q8K154",NA
"243","P52430","Pon1"
"244","P24369","Ppib"
"245","Q9DCX2","Atp5pd"
"246","Q99PG0","Aadac"
"247","P62918","Rpl8"
"248","Q8CG76","Akr7a2"
"249","P50431","Shmt1"
"250","P28474","Adh5"
"251","Q8CHT0","Aldh4a1"
"252","Q8BK48","Ces2e"
"253","Q9DBA8","Amdhd1"
"254","P61027","Rab10"
"255","P28271","Aco1"
"256","Q62186","Ssr4"
"257","P34927","Asgr1"
"258","P50544","Acadvl"
"259","Q9CQA3","Sdhb"
"260","Q9CZX8","Rps19"
"261","P14211","Calr"
"262","P63323","Rps12"
"263","P14115","Rpl27a"
"264","P08113","Hsp90b1"
"265","Q9JMD3","Stard10"
"266","Q921G7","Etfdh"
"267","Q8QZR5","Gpt"
"268","Q9D819","Ppa1"
"269","Q91ZJ5","Ugp2"
"270","Q9Z2U1","Psma5"
"271","P10518","Alad"
"272","Q9DD20","Mettl7b"
"273","P15626","Gstm2"
"274","Q9QXX4","Slc25a13"
"275","Q9DCM2","Gstk1"
"276","P52825","Cpt2"
"277","Q99PT1","Arhgdia"
"278","P70296","Pebp1"
"279","Q9D826","Pipox"
"280","P21981","Tgm2"
"281","Q91XE8","Tmem205"
"282","P14246","Slc2a2"
"283","Q9CZS1","Aldh1b1"
"284","Q9CZB0","Sdhc"
"285","Q6PB66","Lrpprc"
"286","Q8VCC2","Ces1"
"287","Q99L13","Hibadh"
"288","Q9D2E2","Toe1"
"289","P62264","Rps14"
"290","P20108","Prdx3"
"291","P35492","Hal"
"292","Q9JLJ2","Aldh9a1"
"293","Q8CC88","Vwa8"
"294","Q8VCM7","Fgg"
"295","Q99KI0","Aco2"
"296","P62196","Psmc5"
"297","B2RT14",NA
"298","Q920E5","Fdps"
"299","P11725","Otc"
"300","Q9QXE0","Hacl1"
"301","Q91X44","Gckr"
"302","Q8VBW8","Ttc36"
"303","O35658","C1qbp"
"304","O70251","Eef1b"
"305","P62751","Rpl23a"
"306","Q8BW75","Maob"
"307","Q99L20","Gstt3"
"308","Q62452","Ugt1a9"
"309","P06745","Gpi"
"310","P15532","Nme1"
"311","Q8VCW8","Acsf2"
"312","Q91WU0","Ces1f"
"313","O08756","Hsd17b10"
"314","P30115","Gsta3"
"315","Q9WVD5","Slc25a15"
"316","Q9DBP5","Cmpk1"
"317","P63242","Eif5a"
"318","P62849","Rps24"
"319","O35488","Slc27a2"
"320","P18242","Ctsd"
"321","Q8QZR3","Ces2a"
"322","P62908","Rps3"
"323","P97494","Gclc"
"324","Q91WT9","Cbs"
"325","Q9JI75","Nqo2"
"326","P47740","Aldh3a2"
"327","Q9DCS2","Mettl26"
"328","Q9CQ54","Ndufc2"
"329","P70245","Ebp"
"330","Q9WU79","Prodh"
"331","Q9CY27","Tecr"
"332","P62821","Rab1A"
"333","Q9DCG6","Pbld1"
"334","Q8VDD5","Myh9"
"335","Q9CQN1","Trap1"
"336","P20152","Vim"
"337","Q9CZN7","Shmt2"
"338","Q64310","Surf4"
"339","Q6ZWY3","Rps27l"
"340","Q60931","Vdac3"
"341","Q61598","Gdi2"
"342","Q9WUB3","Pygm"
"343","Q8JZR0","Acsl5"
"344","P67984","Rpl22"
"345","Q91X91","Qprt"
"346","P62960","Ybx1"
"347","P62075","Timm13"
"348","Q91VD9","Ndufs1"
"349","P25444","Rps2"
"350","Q922Q8","Lrrc59"
"351","P80315","Cct4"
"352","P35564","Canx"
"353","Q9DCX8","Iyd"
"354","P56593","Cyp2a12"
"355","Q8VC28","Akr1c13"
"356","P10639","Txn"
"357","P70670","Naca"
"358","Q9WV55","Vapa"
"359","P08030","Aprt"
"360","Q9D379","Ephx1"
"361","P97371","Psme1"
"362","P45952","Acadm"
"363","Q9DCU9","Hoga1"
"364","Q9QZ85","Iigp1"
"365","P37040","Por"
"366","Q9D6J6","Ndufv2"
"367","Q8VBT2","Sds"
"368","Q9CPR4","Rpl17"
"369","Q00897","Serpina1d"
"370","P62911","Rpl32"
"371","O08807","Prdx4"
"372","Q99JY0","Hadhb"
"373","Q64105","Spr"
"374","Q8VEK3","Hnrnpu"
"375","Q9DCS9","Ndufb10"
"376","O55060","Tpmt"
"377","Q99J08","Sec14l2"
"378","P62717","Rpl18a"
"379","P56654","Cyp2c37"
"380","P62281","Rps11"
"381","P08003","Pdia4"
"382","Q8VDN2","Atp1a1"
"383","P62245","Rps15a"
"384","Q9R0P3","Esd"
"385","K9J7B2",NA
"386","Q9DCM0","Ethe1"
"387","O08749","Dld"
"388","Q8BHN3","Ganab"
"389","P97742","Cpt1a"
"390","Q01853","Vcp"
"391","Q9DCT2","Ndufs3"
"392","Q62087","Pon3"
"393","Q9DBB8","Dhdh"
"394","Q9D6Y7","Msra"
"395","Q9D9V3","Echdc1"
"396","Q9DBL7","Coasy"
"397","G3X982","Aox3"
"398","Q9DCD0","Pgd"
"399","Q78PY7","Snd1"
"400","Q61133","Gstt2"
"401","Q3UQ44","Iqgap2"
"402","Q8VCR2","Hsd17b13"
"403","Q9DC69","Ndufa9"
"404","Q8BGL3","Sult2a8"
"405","Q61207","Psap"
"406","Q9CZ13","Uqcrc1"
"407","Q8R0F9","Sec14l4"
"408","Q9R1P4","Psma1"
"409","Q93092","Taldo1"
"410","P27659","Rpl3"
"411","P62889","Rpl30"
"412","Q8VCX1","Akr1d1"
"413","Q80UM7","Mogs"
"414","Q9DB29","Iah1"
"415","Q8BH59","Slc25a12"
"416","P97351","Rps3a"
"417","Q9CR57","Rpl14"
"418","O55125","Nipsnap1"
"419","Q8CI94","Pygb"
"420","P68040","Rack1"
"421","Q99MR8","Mccc1"
"422","P13707","Gpd1"
"423","Q9DB20","Atp5po"
"424","Q9JKY7",NA
"425","P57780","Actn4"
"426","P08226","Apoe"
"427","P14148","Rpl7"
"428","P07901","Hsp90aa1"
"429","Q60605","Myl6"
"430","Q9Z2V4","Pck1"
"431","Q8JZU2","Slc25a1"
"432","Q9JHI5","Ivd"
"433","Q99LP6","Grpel1"
"434","Q9QXG4","Acss2"
"435","Q91Z53","Grhpr"
"436","Q9WUR9","Ak4"
